timestamp,lift_id,lift_model,lift_age_hours,ARM_DIST_mm,DOOR_DIST_mm,FLOOR_DIST_mm,ROPE_MFL_mV,BEARING_TEMP_C,maintenance_done
2023-01-01 00:00:00,LIFT_001,Otis Gen2,15000,0.506,2.101,0.116,9.737,34.429,False
2023-01-01 12:00:00,LIFT_001,Otis Gen2,15012,0.49,1.883,0.386,10.544,33.781,False
2023-01-02 00:00:00,LIFT_001,Otis Gen2,15024,0.509,2.214,0.252,9.202,34.98,False
2023-01-02 12:00:00,LIFT_001,Otis Gen2,15036,0.539,2.688,0.668,10.468,35.398,False
2023-01-03 00:00:00,LIFT_001,Otis Gen2,15048,0.524,2.671,0.844,10.225,35.197,False
2023-01-03 12:00:00,LIFT_001,Otis Gen2,15060,0.541,2.667,0.981,10.564,36.912,False
2023-01-04 00:00:00,LIFT_001,Otis Gen2,15072,0.528,2.974,1.734,11.412,37.046,False
2023-01-04 12:00:00,LIFT_001,Otis Gen2,15084,0.58,2.908,1.058,11.337,36.593,False
2023-01-05 00:00:00,LIFT_001,Otis Gen2,15096,0.544,3.065,1.345,11.153,38.018,False
2023-01-05 12:00:00,LIFT_001,Otis Gen2,15108,0.598,3.386,1.919,11.118,37.117,False
2023-01-06 00:00:00,LIFT_001,Otis Gen2,15120,0.559,3.551,1.928,11.153,39.225,False
2023-01-06 12:00:00,LIFT_001,Otis Gen2,15132,0.58,3.668,2.22,10.975,38.274,False
2023-01-07 00:00:00,LIFT_001,Otis Gen2,15144,0.627,3.809,2.656,11.799,42.026,False
2023-01-07 12:00:00,LIFT_001,Otis Gen2,15156,0.598,3.833,2.541,11.056,40.001,False
2023-01-08 00:00:00,LIFT_001,Otis Gen2,15168,0.643,4.019,2.643,11.153,38.474,False
2023-01-08 12:00:00,LIFT_001,Otis Gen2,15180,0.649,4.14,2.861,12.288,40.726,False
2023-01-09 00:00:00,LIFT_001,Otis Gen2,15192,0.648,4.337,3.417,12.26,39.563,False
2023-01-09 12:00:00,LIFT_001,Otis Gen2,15204,0.665,4.424,3.265,12.945,39.885,False
2023-01-10 00:00:00,LIFT_001,Otis Gen2,15216,0.607,4.628,3.456,12.3,40.934,False
2023-01-10 12:00:00,LIFT_001,Otis Gen2,15228,0.666,4.759,3.327,12.108,42.19,False
2023-01-11 00:00:00,LIFT_001,Otis Gen2,15240,0.678,4.714,3.713,12.219,41.193,False
2023-01-11 12:00:00,LIFT_001,Otis Gen2,15252,0.679,4.96,4.125,13.09,41.136,False
2023-01-12 00:00:00,LIFT_001,Otis Gen2,15264,0.685,5.128,4.389,12.984,42.467,False
2023-01-12 12:00:00,LIFT_001,Otis Gen2,15276,0.682,5.236,4.672,12.722,43.388,False
2023-01-13 00:00:00,LIFT_001,Otis Gen2,15288,0.742,5.597,4.537,13.297,41.815,False
2023-01-13 12:00:00,LIFT_001,Otis Gen2,15300,0.742,5.773,5.085,13.399,42.247,False
2023-01-14 00:00:00,LIFT_001,Otis Gen2,15312,0.745,5.624,5.214,13.073,43.538,False
2023-01-14 12:00:00,LIFT_001,Otis Gen2,15324,0.738,5.851,5.126,13.488,43.778,False
2023-01-15 00:00:00,LIFT_001,Otis Gen2,15336,0.771,6.087,5.772,15.072,43.202,False
2023-01-15 12:00:00,LIFT_001,Otis Gen2,15348,0.755,6.034,5.934,14.587,42.964,False
2023-01-16 00:00:00,LIFT_001,Otis Gen2,15360,0.78,6.444,5.937,14.497,44.31,False
2023-01-16 12:00:00,LIFT_001,Otis Gen2,15372,0.752,6.572,6.353,14.577,43.485,False
2023-01-17 00:00:00,LIFT_001,Otis Gen2,15384,0.77,6.498,6.439,14.979,45.169,False
2023-01-17 12:00:00,LIFT_001,Otis Gen2,15396,0.813,6.668,6.51,13.796,44.277,False
2023-01-18 00:00:00,LIFT_001,Otis Gen2,15408,0.821,6.875,6.919,14.886,48.088,False
2023-01-18 12:00:00,LIFT_001,Otis Gen2,15420,0.814,6.902,6.867,14.271,46.635,False
2023-01-19 00:00:00,LIFT_001,Otis Gen2,15432,0.822,7.173,7.046,15.258,45.51,False
2023-01-19 12:00:00,LIFT_001,Otis Gen2,15444,0.846,7.436,7.198,14.561,45.754,False
2023-01-20 00:00:00,LIFT_001,Otis Gen2,15456,0.853,7.485,7.589,16.041,46.802,False
2023-01-20 12:00:00,LIFT_001,Otis Gen2,15468,0.832,7.725,7.67,15.732,47.942,False
2023-01-21 00:00:00,LIFT_001,Otis Gen2,15480,0.838,7.902,8.037,15.129,47.485,False
2023-01-21 12:00:00,LIFT_001,Otis Gen2,15492,0.871,7.91,8.227,16.286,47.492,False
2023-01-22 00:00:00,LIFT_001,Otis Gen2,15504,0.901,8.15,8.295,15.791,46.637,True
2023-01-22 12:00:00,LIFT_001,Otis Gen2,15516,0.47,2.069,0.323,9.764,36.089,False
2023-01-23 00:00:00,LIFT_001,Otis Gen2,15528,0.506,1.992,0.086,10.454,34.864,False
2023-01-23 12:00:00,LIFT_001,Otis Gen2,15540,0.514,2.203,0.016,11.301,36.823,False
2023-01-24 00:00:00,LIFT_001,Otis Gen2,15552,0.474,2.317,0.039,10.77,35.991,False
2023-01-24 12:00:00,LIFT_001,Otis Gen2,15564,0.517,2.448,0.402,9.858,37.043,False
2023-01-25 00:00:00,LIFT_001,Otis Gen2,15576,0.515,2.432,0.639,10.775,36.712,False
2023-01-25 12:00:00,LIFT_001,Otis Gen2,15588,0.548,2.809,0.55,9.927,38.083,False
2023-01-26 00:00:00,LIFT_001,Otis Gen2,15600,0.56,2.625,0.489,11.189,38.234,False
